dataset,encoder,target,head,T,k_shot,run,seed_type,seed,n_train,test_acc,baseline_acc,delta_acc,final_train_loss,checkpoint_epoch,checkpoint_train_loss
fgvc_aircraft,resnet18,image_prototype,fm_standard,4,10shot,2,subset,2,1000,0.1332133263349533,0.193219318985939,-0.06000599265098569,27.53303335571289,190,25.30494729614258
fgvc_aircraft,resnet18,image_prototype,fm_standard,12,10shot,2,subset,2,1000,0.13771377503871918,0.193219318985939,-0.05550554394721982,27.53303335571289,190,25.30494729614258
fgvc_aircraft,resnet18,image_prototype,fm_rollout,4,10shot,2,subset,2,1000,0.11551155149936676,0.193219318985939,-0.07770776748657224,1.3533723583221435,199,1.3533723583221435
fgvc_aircraft,resnet18,image_prototype,fm_rollout,12,10shot,2,subset,2,1000,0.14941494166851044,0.193219318985939,-0.04380437731742856,1.330684079170227,197,1.3033089475631714
fgvc_aircraft,resnet18,image_prototype,fm_standard,4,full,0,init,0,3334,0.15541553497314453,0.2520252168178558,-0.09660968184471125,22.826382423634293,197,22.50887137483392
fgvc_aircraft,resnet18,image_prototype,fm_standard,12,full,0,init,0,3334,0.16081608831882477,0.2520252168178558,-0.09120912849903101,22.826382423634293,197,22.50887137483392
fgvc_aircraft,resnet18,image_prototype,fm_rollout,4,full,0,init,0,3334,0.1551155149936676,0.2520252168178558,-0.09690970182418818,0.21842105659847855,198,0.20988662468507466
fgvc_aircraft,resnet18,image_prototype,fm_rollout,12,full,0,init,0,3334,0.18601860105991364,0.2520252168178558,-0.06600661575794214,0.2466270911546975,198,0.22697825600232774
fgvc_aircraft,resnet18,image_prototype,fm_standard,4,full,1,init,1,3334,0.1563156247138977,0.2520252168178558,-0.09570959210395807,22.14222127574607,199,22.14222127574607
fgvc_aircraft,resnet18,image_prototype,fm_standard,12,full,1,init,1,3334,0.1647164672613144,0.2520252168178558,-0.08730874955654139,22.14222127574607,199,22.14222127574607
fgvc_aircraft,resnet18,image_prototype,fm_rollout,4,full,1,init,1,3334,0.10651065409183502,0.2520252168178558,-0.14551456272602076,0.2080132455509726,197,0.2058392624584729
fgvc_aircraft,resnet18,image_prototype,fm_rollout,12,full,1,init,1,3334,0.17971797287464142,0.2520252168178558,-0.07230724394321436,0.1982409944327634,199,0.1982409944327634
fgvc_aircraft,resnet18,image_prototype,fm_standard,4,full,2,init,2,3334,0.13981397449970245,0.2520252168178558,-0.11221124231815333,23.331574028669607,192,22.328264112306627
fgvc_aircraft,resnet18,image_prototype,fm_standard,12,full,2,init,2,3334,0.157515749335289,0.2520252168178558,-0.09450946748256678,23.331574028669607,192,22.328264112306627
fgvc_aircraft,resnet18,image_prototype,fm_rollout,4,full,2,init,2,3334,0.1416141539812088,0.2520252168178558,-0.11041106283664698,0.22782367301616543,198,0.21950457837314183
fgvc_aircraft,resnet18,image_prototype,fm_rollout,12,full,2,init,2,3334,0.15931592881679535,0.2520252168178558,-0.09270928800106043,0.23539321961235557,198,0.22649866978994873
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,4,5shot,0,subset,0,500,0.23282328248023987,0.2166216671466827,0.016201615333557157,84.56408728027344,181,80.99689855957031
